Statistic,Average,Minimum,Maximum
NN Cost,196.133333,105.0,313.0
NN Nodes Expanded,9.0,9.0,9.0
NN CPU Time,0.0,0.0,0.0
NN Real Time,0.0001,0.0,0.001005
NN2O Cost,196.133333,105.0,313.0
NN2O Nodes Expanded,10.533333,9.0,16.0
NN2O CPU Time,0.0,0.0,0.0
NN2O Real Time,6.7e-05,0.0,0.001
RNN Cost,151.966667,84.0,290.0
RNN Nodes Expanded,15.133333,10.0,20.0
RNN CPU Time,0.000521,0.0,0.015625
RNN Real Time,0.000967,0.0,0.001006
RNN2 Cost,149.666667,87.0,286.0
RNN2 Nodes Expanded,12.4,9.0,17.0
RNN2 CPU Time,0.001042,0.0,0.015625
RNN2 Real Time,0.000933,0.0,0.002
RNN4 Cost,155.2,92.0,275.0
RNN4 Nodes Expanded,14.666667,10.0,20.0
RNN4 CPU Time,0.000521,0.0,0.015625
RNN4 Real Time,0.001017,0.000504,0.002
