Statistic,Average,Minimum,Maximum
NN Cost,271.233333,179.0,430.0
NN Nodes Expanded,19.0,19.0,19.0
NN CPU Time,0.0,0.0,0.0
NN Real Time,3.3e-05,0.0,0.001002
NN2O Cost,271.233333,179.0,430.0
NN2O Nodes Expanded,22.233333,19.0,27.0
NN2O CPU Time,0.000521,0.0,0.015625
NN2O Real Time,0.0004,0.0,0.001002
RNN Cost,214.766667,164.0,297.0
RNN Nodes Expanded,31.933333,26.0,46.0
RNN CPU Time,0.005208,0.0,0.03125
RNN Real Time,0.005204,0.003998,0.006
RNN2 Cost,209.433333,165.0,293.0
RNN2 Nodes Expanded,28.3,21.0,33.0
RNN2 CPU Time,0.006771,0.0,0.015625
RNN2 Real Time,0.00477,0.003999,0.006609
RNN4 Cost,211.966667,155.0,312.0
RNN4 Nodes Expanded,35.333333,29.0,46.0
RNN4 CPU Time,0.001563,0.0,0.015625
RNN4 Real Time,0.005235,0.004,0.006006
