Statistic,Average,Minimum,Maximum
NN Cost,287.066667,144.0,388.0
NN Nodes Expanded,24.0,24.0,24.0
NN CPU Time,0.000521,0.0,0.015625
NN Real Time,6.7e-05,0.0,0.001003
NN2O Cost,287.066667,144.0,388.0
NN2O Nodes Expanded,28.466667,24.0,35.0
NN2O CPU Time,0.0,0.0,0.0
NN2O Real Time,0.000567,0.0,0.001005
RNN Cost,223.6,146.0,303.0
RNN Nodes Expanded,41.066667,32.0,53.0
RNN CPU Time,0.006771,0.0,0.015625
RNN Real Time,0.00885,0.007998,0.010505
RNN2 Cost,220.966667,144.0,289.0
RNN2 Nodes Expanded,36.2,28.0,42.0
RNN2 CPU Time,0.009896,0.0,0.015625
RNN2 Real Time,0.007698,0.006,0.009001
RNN4 Cost,225.066667,147.0,308.0
RNN4 Nodes Expanded,43.433333,35.0,55.0
RNN4 CPU Time,0.007812,0.0,0.015625
RNN4 Real Time,0.008951,0.007998,0.010999
