Statistic,Average,Minimum,Maximum
NN Cost,237.133333,91.0,355.0
NN Nodes Expanded,14.0,14.0,14.0
NN CPU Time,0.0,0.0,0.0
NN Real Time,3.3e-05,0.0,0.001001
NN2O Cost,237.133333,91.0,355.0
NN2O Nodes Expanded,16.466667,14.0,21.0
NN2O CPU Time,0.0,0.0,0.0
NN2O Real Time,0.000233,0.0,0.001001
RNN Cost,187.166667,81.0,286.0
RNN Nodes Expanded,23.7,17.0,32.0
RNN CPU Time,0.000521,0.0,0.015625
RNN Real Time,0.002467,0.001999,0.003009
RNN2 Cost,185.566667,73.0,249.0
RNN2 Nodes Expanded,20.766667,14.0,28.0
RNN2 CPU Time,0.005208,0.0,0.015625
RNN2 Real Time,0.002551,0.001999,0.003004
RNN4 Cost,185.533333,76.0,295.0
RNN4 Nodes Expanded,24.366667,19.0,32.0
RNN4 CPU Time,0.002083,0.0,0.015625
RNN4 Real Time,0.002634,0.001999,0.003004
